[DEBUG][2016-10-10 15:36:12,279][org.springframework.context.support.GenericApplicationContext]Bean factory for org.springframework.context.support.GenericApplicationContext@738b19ed: org.springframework.beans.factory.support.DefaultListableBeanFactory@4d788a72: defining beans [org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,accountDao,urlDao,org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,accountService,urlService,dataSource,sqlSessionFactory,transactionManager,transactionAdvice,org.springframework.aop.config.internalAutoProxyCreator,transactionPointcut,org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0]; root of factory hierarchy
[DEBUG][2016-10-10 15:36:12,335][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[DEBUG][2016-10-10 15:36:12,335][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[DEBUG][2016-10-10 15:36:12,362][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' to allow for resolving potential circular references
[DEBUG][2016-10-10 15:36:12,364][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[DEBUG][2016-10-10 15:36:12,451][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating shared instance of singleton bean 'org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0'
[DEBUG][2016-10-10 15:36:12,451][org.springframework.beans.factory.support.DefaultListableBeanFactory]Creating instance of bean 'org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0'
[DEBUG][2016-10-10 15:36:12,452][org.springframework.beans.factory.support.DefaultListableBeanFactory]Eagerly caching bean 'org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0' to allow for resolving potential circular references
[DEBUG][2016-10-10 15:36:12,477][org.springframework.beans.factory.support.DefaultListableBeanFactory]Finished creating instance of bean 'org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0'
[DEBUG][2016-10-10 15:36:12,484][org.springframework.core.env.MutablePropertySources]Adding [environmentProperties] PropertySource with lowest search precedence
[INFO][2016-10-10 15:36:12,485][org.springframework.context.support.PropertySourcesPlaceholderConfigurer]Loading properties file from class path resource [config.properties]
[DEBUG][2016-10-10 15:36:12,486][org.springframework.core.env.MutablePropertySources]Adding [localProperties] PropertySource with lowest search precedence
[DEBUG][2016-10-10 15:36:12,490][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_url' in [environmentProperties]
[DEBUG][2016-10-10 15:36:12,491][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_url' in [systemProperties]
[DEBUG][2016-10-10 15:36:12,491][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_url' in [systemEnvironment]
[DEBUG][2016-10-10 15:36:12,491][org.springframework.core.env.PropertySourcesPropertyResolver]Could not find key 'jdbc_url' in any property source. Returning [null]
[DEBUG][2016-10-10 15:36:12,491][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_url' in [localProperties]
[DEBUG][2016-10-10 15:36:12,491][org.springframework.core.env.PropertySourcesPropertyResolver]Found key 'jdbc_url' in [localProperties] with type [String] and value 'jdbc:mysql://localhost:3306/xbgy?useUnicode=true&characterEncoding=UTF-8&zeroDateTimeBehavior=convertToNull'
[DEBUG][2016-10-10 15:36:12,495][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_username' in [environmentProperties]
[DEBUG][2016-10-10 15:36:12,495][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_username' in [systemProperties]
[DEBUG][2016-10-10 15:36:12,495][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_username' in [systemEnvironment]
[DEBUG][2016-10-10 15:36:12,495][org.springframework.core.env.PropertySourcesPropertyResolver]Could not find key 'jdbc_username' in any property source. Returning [null]
[DEBUG][2016-10-10 15:36:12,496][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_username' in [localProperties]
[DEBUG][2016-10-10 15:36:12,496][org.springframework.core.env.PropertySourcesPropertyResolver]Found key 'jdbc_username' in [localProperties] with type [String] and value 'root'
[DEBUG][2016-10-10 15:36:12,496][org.springframework.core.env.PropertySourcesPropertyResolver]Searching for key 'jdbc_password' in [environmentProperties]
